Coordonnees,Categorie,activities_name
"{""type"":""Point"",""coordinates"":[-4.0491056,5.3492198]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0806015,5.3485589]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0017851,5.3662879]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0000024,5.3652074]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0777516,5.3607297]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0837283,5.3352909]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0791062,5.3372097]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0907899,5.3725378]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0861684,5.3672016]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0094163,5.3746387]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0975074,5.3818561]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.081441,5.3821499]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-4.0755066,5.3731326]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0742473,5.3698166]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0998765,5.3339375]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.1070474,5.3454023]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0981666,5.3684179]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.1075597,5.3417109]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0658594,5.338127]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.1010329,5.3547374]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.1012272,5.3678832]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0561739,5.3298689]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0677081,5.3402114]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0652841,5.3580365]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0892784,5.354641]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0959162,5.3562633]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9464307,5.2842124]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0476576,5.441577]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0373033,5.4378535]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0608945,5.4401378]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0581846,5.4302643]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0681661,5.432365]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0673152,5.4324218]}",Restauration,Garba Choco
"{""type"":""Point"",""coordinates"":[-4.0489521,5.4221663]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9676704,5.2983054]}",Restauration,Garbardrome
"{""type"":""Point"",""coordinates"":[-4.0554115,5.4515225]}",Restauration,Garbardrome
"{""type"":""Point"",""coordinates"":[-3.9481374,5.3012643]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0706988,5.4432242]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0812157,5.4474573]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.072292,5.4535357]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0535487,5.4616513]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.078851,5.4365548]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0715712,5.4429174]}",Restauration,Garbadrome M'Pouto
"{""type"":""Point"",""coordinates"":[-4.0253754,5.3414595]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9556743,5.3251516]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9976883,5.3453207]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9748541,5.3871668]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9903525,5.4052576]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0087446,5.4191587]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9722596,5.340881]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9889666,5.3914723]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0188656,5.4327249]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-4.0002081,5.3235942]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9977644,5.4217507]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9952291,5.4143737]}",Restauration,Garba
"{""type"":""Point"",""coordinates"":[-3.9820953,5.3910355]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0098327,5.4116889]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9651336,5.3586855]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9794236,5.4029177]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-4.0104711,5.4200568]}",Restauration,Garbadrome Chez Seydou
"{""type"":""Point"",""coordinates"":[-4.0731476,5.3293975]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-3.9882722,5.4353931]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-3.9839964,5.4140521]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-4.0181821,5.4409584]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-3.9726679,5.3766151]}",Restauration,Garba +
"{""type"":""Point"",""coordinates"":[-3.9579692,5.3749739]}",Restauration,Garbadromme
"{""type"":""Point"",""coordinates"":[-3.9463787,5.3579976]}",Restauration,Garbadrome
"{""type"":""Point"",""coordinates"":[-3.9565185,5.3606214]}",Coiffeurs(ses),Chez Tasman
"{""type"":""Point"",""coordinates"":[-4.0191004,5.4270734]}",Accessoires de beaute,Yavhe Jhire Esthetique
"{""type"":""Point"",""coordinates"":[-4.0149061,5.414725]}",Coiffeurs(ses),Phine Coiffure
"{""type"":""Point"",""coordinates"":[-4.0120154,5.4146289]}",Coiffeurs(ses),Mariam Coiffure
"{""type"":""Point"",""coordinates"":[-4.0028664,5.4201426]}",Coiffeurs(ses),Authentic Coiffure
"{""type"":""Point"",""coordinates"":[-4.0060803,5.4171376]}",Coiffeurs(ses),Belle Coiffure
"{""type"":""Point"",""coordinates"":[-3.9797062,5.4032522]}",Accessoires de beaute,Rose Sabine Natural Beauty
"{""type"":""Point"",""coordinates"":[-3.9795721,5.4139627]}",Coiffeurs(ses),Esthetique-Coiffure
"{""type"":""Point"",""coordinates"":[-4.0098633,5.4085512]}",Coiffeurs(ses),Choco Coiffure
"{""type"":""Point"",""coordinates"":[-4.0123073,5.4112196]}",Accessoires de beaute,Grace Cosmetique
"{""type"":""Point"",""coordinates"":[-4.0041747,5.3937744]}",Accessoires de beaute,Bethel
"{""type"":""Point"",""coordinates"":[-4.0610238,5.3412319]}",Accessoires de beaute,Santa Maria Coiffure
"{""type"":""Point"",""coordinates"":[-4.0172095,5.3510631]}",Accessoires de beaute,Divine Beaute
"{""type"":""Point"",""coordinates"":[-4.0171967,5.3512354]}",Coiffeurs(ses),Star Coiffure
"{""type"":""Point"",""coordinates"":[-3.9473737,5.3104786]}",Coiffeurs(ses),Elle & Lui
"{""type"":""Point"",""coordinates"":[-3.9495993,5.3091147]}",Coiffeurs(ses),American Hairline Creation
"{""type"":""Point"",""coordinates"":[-3.9632652,5.3772831]}",Accessoires de beaute,Inzatou Coiffure
"{""type"":""Point"",""coordinates"":[-3.9642014,5.3807528]}",Coiffeurs(ses),Salon De Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9761097,5.3045672]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9759985,5.3087677]}",Coiffeurs(ses),Ola Coiffure
"{""type"":""Point"",""coordinates"":[-3.9756686,5.3101378]}",Accessoires de beaute,Salon De Beaute
"{""type"":""Point"",""coordinates"":[-3.9775825,5.2996565]}",Accessoires de beaute,Shalom Coiffure
"{""type"":""Point"",""coordinates"":[-3.9807204,5.3021363]}",Coiffeurs(ses),Mano Coiffure
"{""type"":""Point"",""coordinates"":[-3.9742495,5.2850176]}",Coiffeurs(ses),Dieu Beni Coiffure
"{""type"":""Point"",""coordinates"":[-3.989554,5.364858]}",Accessoires de beaute,O'Tentik Beaute
"{""type"":""Point"",""coordinates"":[-3.99017,5.372662]}",Coiffeurs(ses),Aboude Coiffure
"{""type"":""Point"",""coordinates"":[-4.0784903,5.3489179]}",Coiffeurs(ses),Prodige Coiffure
"{""type"":""Point"",""coordinates"":[-3.9694451,5.2985752]}",Accessoires de beaute,Miss Swan
"{""type"":""Point"",""coordinates"":[-4.0542617,5.3222826]}",Coiffeurs(ses),Hair Lyzz Coifure
"{""type"":""Point"",""coordinates"":[-4.0551202,5.3225949]}",Coiffeurs(ses),Chez Sabro
"{""type"":""Point"",""coordinates"":[-4.0560213,5.3231143]}",Coiffeurs(ses),Coiffure Chez Mano
"{""type"":""Point"",""coordinates"":[-4.0558848,5.3231027]}",Accessoires de beaute,Ladies'Choice
"{""type"":""Point"",""coordinates"":[-4.057376,5.3236968]}",Accessoires de beaute,Centre Elena
"{""type"":""Point"",""coordinates"":[-4.0562222,5.3235903]}",Accessoires de beaute,Pretty Nails
"{""type"":""Point"",""coordinates"":[-4.0504329,5.3220968]}",Coiffeurs(ses),Luxury Beauty Coiffure
"{""type"":""Point"",""coordinates"":[-4.050854,5.3220878]}",Accessoires de beaute,Gentleman Hair
"{""type"":""Point"",""coordinates"":[-4.0507182,5.3221004]}",Accessoires de beaute,Acacia Chateau
"{""type"":""Point"",""coordinates"":[-4.0512779,5.3220881]}",Coiffeurs(ses),Kignon Barber Shop
"{""type"":""Point"",""coordinates"":[-4.052959,5.3221084]}",Accessoires de beaute,Jihel
"{""type"":""Point"",""coordinates"":[-3.9768892,5.285553]}",Coiffeurs(ses),Coiffeur
"{""type"":""Point"",""coordinates"":[-3.9763543,5.2805739]}",Accessoires de beaute,Beurre Bresilien
"{""type"":""Point"",""coordinates"":[-4.065337,5.3408238]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9734024,5.2989023]}",Coiffeurs(ses),Salon De Coiffure Mixte
"{""type"":""Point"",""coordinates"":[-3.9738575,5.2994091]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9846805,5.3054367]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9780518,5.275163]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9975817,5.3810482]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9744417,5.2745958]}",Accessoires de beaute,Mc Fabulous
"{""type"":""Point"",""coordinates"":[-3.991957,5.3025199]}",Coiffeurs(ses),Barbier/Circoncision
"{""type"":""Point"",""coordinates"":[-3.9604235,5.3731542]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9799875,5.4130992]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.1019115,5.3348819]}",Accessoires de beaute,Yavhe Jhire Esthetique
"{""type"":""Point"",""coordinates"":[-4.0444759,5.333797]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9789321,5.348951]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9300167,5.3901722]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0288764,5.4326832]}",Accessoires de beaute,Salon De Coiffure Dame
